Ltrait,Name,Description,Unit,Ontology
Plant.height.in.pixel,,,,
Plant.height.in.mm,Height,,mm,
Total.pixels,,,,
Area.in.square.mm,Area,,mm2,
Total.yellow.pixels,,,,
TYP.area,TYArea,,mm2,
Total.pixel.of.flag.leaf.area,,,,
TFL.area,TFLArea,,mm2,
Yellow.pixel.count.of.flag.leaf.area,,,,
YFL.area,YFLArea,,mm2,
Total.pixel.of.2nd.leaf.area,,,,
X2ndL.area,2LArea,,mm2,
Yellow.pixel.of.2nd.leaf.area,,,,
Y2ndL.area,2LYArea,,mm2,
Total.pixel.of.remaining.leaf.area,,,,
RL.area,RLArea,,mm2,
Yellow.pixel.of.remaining.leaf.area,,,,
YRL.area,RLYArea,,mm2,
