NIAB_Plot_2014,W8,NPPC code,location,treatment,rep,barcode,genotype,control,type,idtype
1,Alchemy-1A,1,1,1,1,W8-001111,Alchemy-1A,0,1,Alchemy-1A
1,Alchemy-1A,1,1,1,2,W8-001112,Alchemy-1A,1,1,Alchemy-1A
1116,Avalon,2,1,1,1,W8-002111,Avalon,1,1,Avalon
1116,Avalon,2,1,1,2,W8-002112,Avalon,0,1,Avalon
61,Brompton-1A,3,1,1,1,W8-003111,Brompton-1A,0,1,Brompton-1A
61,Brompton-1A,3,1,1,2,W8-003112,Brompton-1A,0,1,Brompton-1A
1117,Cadenza,4,1,1,1,W8-004111,Cadenza,1,1,Cadenza
1117,Cadenza,4,1,1,2,W8-004112,Cadenza,1,1,Cadenza
601,Claire-4,5,1,1,1,W8-005111,Claire-4,0,1,Claire-4
601,Claire-4,5,1,1,2,W8-005112,Claire-4,0,1,Claire-4
661,Hereward-1A,6,1,1,1,W8-006111,Hereward-1A,0,1,Hereward-1A
661,Hereward-1A,6,1,1,2,W8-006112,Hereward-1A,0,1,Hereward-1A
1300,KWS Santiago,7,1,1,1,W8-007111,KWS Santiago,1,1,KWS Santiago
1300,KWS Santiago,7,1,1,2,W8-007112,KWS Santiago,1,1,KWS Santiago
721,Rialto-4,8,1,1,1,W8-008111,Rialto-4,0,1,Rialto-4
721,Rialto-4,8,1,1,2,W8-008112,Rialto-4,0,1,Rialto-4
301,Robigus-1,9,1,1,1,W8-009111,Robigus-1,0,1,Robigus-1
301,Robigus-1,9,1,1,2,W8-009112,Robigus-1,0,1,Robigus-1
361,Soissons-1,10,1,1,1,W8-010111,Soissons-1,0,1,Soissons-1
361,Soissons-1,10,1,1,2,W8-010112,Soissons-1,0,1,Soissons-1
961,Xi-19-1,11,1,1,1,W8-011111,Xi-19-1,0,1,Xi-19-1
961,Xi-19-1,11,1,1,2,W8-011112,Xi-19-1,0,1,Xi-19-1
1203,Zircon,12,1,1,1,W8-012111,Zircon,1,1,Zircon
1203,Zircon,12,1,1,2,W8-012112,Zircon,1,1,Zircon
734,MEL 001-1a,13,1,1,1,W8-013111,MEL 001-1a,0,2,RIL
734,MEL 001-1a,13,1,1,2,W8-013112,MEL 001-1a,0,2,RIL
4,MEL 002-1,14,1,1,1,W8-014111,MEL 002-1,0,2,RIL
4,MEL 002-1,14,1,1,2,W8-014112,MEL 002-1,0,2,RIL
737,MEL 003-1a,15,1,1,1,W8-015111,MEL 003-1a,0,2,RIL
737,MEL 003-1a,15,1,1,2,W8-015112,MEL 003-1a,0,2,RIL
10,MEL 004-1,16,1,1,1,W8-016111,MEL 004-1,0,2,RIL
10,MEL 004-1,16,1,1,2,W8-016112,MEL 004-1,0,2,RIL
808,MEL 005-1,17,1,1,1,W8-017111,MEL 005-1,0,2,RIL
808,MEL 005-1,17,1,1,2,W8-017112,MEL 005-1,0,2,RIL
19,MEL 006-1,18,1,1,1,W8-018111,MEL 006-1,0,2,RIL
